texte_id,colonne,nombre_subordonnees_qui,proportion_subordonnees_qui,nombre_subordonnees_que,proportion_subordonnees_que,nombre_subordonnees_prep_lequel,proportion_subordonnees_prep_lequel,nombre_subordonnees_dont,proportion_subordonnees_dont,nombre_completives,proportion_completives,nombre_hypothetiques,proportion_hypothetiques,nombre_gerondif,proportion_gerondif,nombre_incises,proportion_incises,nombre_propositions_coordonnees,proportion_propositions_coordonnees
1,Texte,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0
2,Texte,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,5,5.0,0,0.0
3,Texte,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,1,1.0,0,0.0
4,Texte,0,0.0,0,0.0,0,0.0,0,0.0,2,2.0,0,0.0,0,0.0,4,4.0,1,1.0
5,Texte,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,2.0,0,0.0
6,Texte,0,0.0,0,0.0,1,1.0,0,0.0,1,1.0,0,0.0,0,0.0,1,1.0,0,0.0
7,Texte,0,0.0,0,0.0,0,0.0,0,0.0,2,2.0,0,0.0,0,0.0,2,2.0,0,0.0
8,Texte,0,0.0,0,0.0,0,0.0,0,0.0,2,2.0,0,0.0,0,0.0,0,0.0,0,0.0
9,Texte,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,3.0,0,0.0
10,Texte,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
11,Texte,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
12,Texte,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,4.0,0,0.0
13,Texte,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0
14,Texte,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,1,1.0,0,0.0
15,Texte,0,0.0,0,0.0,0,0.0,0,0.0,2,2.0,0,0.0,0,0.0,0,0.0,0,0.0
16,Texte,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,3,3.0,1,1.0
17,Texte,0,0.0,0,0.0,0,0.0,0,0.0,2,2.0,0,0.0,0,0.0,2,2.0,0,0.0
18,Texte,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,1,1.0,0,0.0
19,Texte,0,0.0,0,0.0,0,0.0,0,0.0,2,2.0,0,0.0,0,0.0,2,2.0,0,0.0
20,Texte,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,2.0,0,0.0
21,Texte,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0
22,Texte,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,7,7.0,1,1.0
23,Texte,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,3,3.0,0,0.0
24,Texte,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,2.0,1,1.0
25,Texte,0,0.0,0,0.0,0,0.0,0,0.0,2,2.0,0,0.0,0,0.0,1,1.0,1,1.0
26,Texte,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
27,Texte,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
28,Texte,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0
29,Texte,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,1,1.0,0,0.0
30,Texte,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
31,Texte,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0
32,Texte,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,1,1.0,0,0.0
33,Texte,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,3,3.0,2,2.0
34,Texte,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0
35,Texte,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,3,3.0,0,0.0
36,Texte,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,2,2.0,0,0.0
37,Texte,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,1,1.0,0,0.0,6,6.0,0,0.0
38,Texte,0,0.0,0,0.0,0,0.0,0,0.0,2,2.0,0,0.0,0,0.0,3,3.0,0,0.0
39,Texte,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,1,1.0,0,0.0
40,Texte,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,2.0,0,0.0
