texte_id,desaccord_total
1,7.771
2,102.838
3,19.716
4,51.229
5,3.979
6,11.29
7,9.595
8,1.491
9,17.649
10,5.786
11,16.304
12,36.542
13,6.512
14,7.452
15,16.796
16,24.442
17,23.514
18,15.384
19,9.052
20,18.917
21,5.616
22,345.054
23,88.97
24,17.472
25,33.63
26,8.592
27,9.71
28,25.468
29,2.193
30,56.257
31,5.877
32,12.114
33,20.529
34,15.378
35,39.839
36,10.062
37,128.737
38,17.294
39,9.601
40,15.601
41,19.877
42,8.722
43,96.103
44,24.87
45,18.422
46,7.647
47,76.623
48,5.646
49,77.218
50,4.012
51,5.302
52,37.916
53,0.6
54,0.603
55,25.795
56,7.99
57,9.42
58,6.464
59,59.991
60,10.885
61,19.437
62,31.252
63,7.004
64,12.073
65,4.49
66,9.519
67,4.333
68,4.62
69,14.311
70,4.772
71,12.2
72,11.142
73,8.079
74,11.318
75,13.689
76,22.68
77,4.874
78,5.315
79,16.142
80,5.339
81,10.253
82,3.512
83,302.574
84,10.022
85,6.464
86,7.266
87,13.042
88,38.598
89,14.049
90,3.824
91,6.834
92,6.646
93,4.488
94,5.554
95,6.812
96,12.772
97,1.667
98,26.5
99,13.076
100,4.369
101,57.827
102,8.536
103,10.329
104,37.963
105,9.172
106,14.702
107,16.976
108,4.912
109,5.649
110,6.973
111,11.231
112,3.062
113,8.926
114,14.36
115,23.938
116,10.4
117,0.0
118,1.14
119,36.41
120,5.759
121,17.357
122,12.549
123,8.075
124,11.453
125,2.801
126,6.58
127,2.95
128,8.361
129,39.988
130,10.39
131,8.641
132,7.972
133,6.994
134,20.689
135,29.853
136,7.188
137,6.214
138,32.585
139,6.138
140,5.213
141,3.195
142,6.349
143,23.186
144,7.093
145,10.69
146,12.983
147,10.881
148,16.041
149,5.442
150,5.036
151,8.356
152,7.829
153,2.86
154,7.698
155,21.359
156,8.908
157,11.711
158,14.396
159,13.526
160,20.115
161,13.626
162,3.248
163,14.143
164,4.434
165,5.85
166,5.92
167,4.856
168,6.947
169,5.353
170,5.814
171,4.51
172,17.668
173,8.119
174,63.106
175,25.721
176,4.205
177,22.549
178,11.336
179,7.278
180,0.494
181,4.777
182,4.058
183,9.595
184,8.968
185,44.908
186,19.338
187,7.098
188,3.103
189,15.378
190,4.588
191,5.543
192,7.685
193,7.035
194,20.253
195,66.019
196,4.452
197,7.945
198,13.759
199,4.388
200,8.31
201,18.37
202,4.994
203,6.583
204,7.102
205,43.713
206,5.654
207,5.928
208,141.838
209,35.007
210,18.19
211,31.695
212,7.187
213,11.178
214,24.185
215,9.85
216,37.257
217,5.343
218,24.784
219,16.257
220,5.054
221,19.45
222,2.785
223,26.641
224,8.968
225,5.473
226,8.076
227,8.973
228,28.862
229,81.032
230,5.078
231,133.995
232,15.454
233,12.191
234,10.628
235,2.719
236,10.25
237,260.898
238,87.801
239,5.175
240,6.166
241,2.981
242,17.799
243,10.01
244,4.849
245,11.486
246,8.062
247,4.062
248,11.219
249,52.07
250,73.836
251,6.908
252,33.968
253,6.59
254,14.009
255,19.908
256,48.058
257,2.699
258,35.805
259,4.954
260,4.514
261,7.247
262,1.076
263,10.77
264,45.201
265,50.971
266,213.986
267,10.581
268,4.9
269,21.862
270,0.0
271,4.827
272,9.889
273,60.566
274,32.197
275,27.347
276,12.158
277,13.431
278,17.178
279,22.472
280,19.178
281,6.876
282,30.323
283,18.328
284,6.236
285,14.905
286,9.571
287,26.005
288,6.213
289,77.157
290,10.354
291,18.507
292,8.536
293,17.725
294,34.671
295,4.422
296,5.391
297,12.026
298,21.0
299,29.757
300,11.223
301,2.373
302,11.285
303,2.167
304,194.135
305,18.83
306,138.592
307,57.955
308,5.886
309,8.734
310,5.517
311,53.292
312,71.637
313,52.792
314,4.041
315,2.667
316,6.45
317,12.498
318,16.782
319,20.445
320,31.748
321,132.057
322,2.413
323,8.864
324,2.083
325,2.941
326,5.991
327,4.595
328,11.023
329,9.675
