sms_id,SMS_texte,SMS_profondeur_arbre_max,SMS_profondeur_arbre_moy,SMS_distance_dependance_max,SMS_distance_dependance_moy,SMS_distance_dependance_var,SMS_nb_dependances_moy_phrase,SMS_nb_dependances_var_phrase,SMS_nb_phrases,SMS_nb_tokens,Transcodage_1_texte,Transcodage_1_profondeur_arbre_max,Transcodage_1_profondeur_arbre_moy,Transcodage_1_distance_dependance_max,Transcodage_1_distance_dependance_moy,Transcodage_1_distance_dependance_var,Transcodage_1_nb_dependances_moy_phrase,Transcodage_1_nb_dependances_var_phrase,Transcodage_1_nb_phrases,Transcodage_1_nb_tokens,Transcodage_2_texte,Transcodage_2_profondeur_arbre_max,Transcodage_2_profondeur_arbre_moy,Transcodage_2_distance_dependance_max,Transcodage_2_distance_dependance_moy,Transcodage_2_distance_dependance_var,Transcodage_2_nb_dependances_moy_phrase,Transcodage_2_nb_dependances_var_phrase,Transcodage_2_nb_phrases,Transcodage_2_nb_tokens,divergence_score
1,"Hey ca va?
Alors cette rentree?
Va falloir se trouver un p'tit creneau pour se voir!
Dis moi, est-ce que tu sais quand commence les cours de langue non specialiste?
Bisoux",6.0,3.2,14.0,2.7714285714285714,9.433469387755101,7.0,41.2,5.0,40.0,"Hey ça va ?
Alors cette rentrée ?
Va falloir se trouver un petit créneau pour se voir !
Dis-moi, est-ce que tu sais quand commencent les cours de langue non spécialiste ?
Bisous",6.0,3.2,14.0,2.6470588235294117,7.757785467128027,6.8,42.160000000000004,5.0,39.0,"Hey ça va ?
Alors cette rentrée ?
Va falloir se trouver un petit créneau pour se voir !
Dis-moi, est-ce que tu sais quand commencent les cours de langue non spécialiste ?
Bisous",6.0,3.2,14.0,2.6470588235294117,7.757785467128027,6.8,42.160000000000004,5.0,39.0,0.12436974789915967
2,"Ok super merci! Oui j'y comprends rien du tout moi a cette fac :p

J'irai me renseigner aussi ( si j'trouve le batiment :) )
Merci encore!

Bonne soiree bisoux!",7.0,4.0,16.0,3.1052631578947367,13.620498614958448,12.666666666666666,186.8888888888889,3.0,41.0,"OK super merci ! Oui j'y comprends rien du tout moi à cette fac :p

J'irai me renseigner aussi (si je trouve le bâtiment :) )
Merci encore !

Bonne soirée bisous !",7.0,4.0,16.0,2.945945945945946,12.807888970051133,12.333333333333334,174.2222222222222,3.0,40.0,"O.K. super merci ! Oui j'y comprends rien du tout moi à cette fac :p

J'irai me renseigner aussi (si je trouve le bâtiment :) )
Merci encore !

Bonne soirée bisous !",7.0,3.5,16.0,2.8974358974358974,12.245890861275477,9.75,150.6875,4.0,43.0,1.2078272604588394
3,"Coucou !
C'est quand la feria de Nimes?
J'suis pas bien sure de la faire mais pourquoi pas!
Sinon oui, j'profite de ma derniere semaine de vacance!
Bon courage!
Bisoux",4.0,2.6666666666666665,7.0,2.4857142857142858,2.821224489795919,5.833333333333333,25.472222222222218,6.0,41.0,"Coucou !  
C'est quand la feria de Nîmes ?  
Je suis pas bien sûre de la faire mais pourquoi pas !  
Sinon oui, je profite de ma dernière semaine de vacances !  
Bon courage !  
Bisous",4.0,2.6666666666666665,7.0,2.3636363636363638,2.59504132231405,5.5,21.583333333333332,6.0,39.0,"Coucou !  
C'est quand la féria de Nîmes ?  
Je suis pas bien sûre de la faire mais pourquoi pas !  
Sinon oui, je profite de ma dernière semaine de vacances !  
Bon courage !  
Bisous",4.0,2.6666666666666665,7.0,2.3636363636363638,2.59504132231405,5.5,21.583333333333332,6.0,39.0,0.12207792207792201
4,"Coucou :)
Oui ca c'est bien passe!
Alors je sais pas du tout pour jeudi soir... Non pas que je veuille pas mais je suis pas sure d'etre sur Montpel. J'y serai de sur qu'a partir de lundi prochain car je commence les cours...",6.0,4.25,10.0,2.807017543859649,5.524161280393967,14.25,16.1875,4.0,61.0,"Coucou :)  
Oui ça s'est bien passé !  
Alors je sais pas du tout pour jeudi soir… Non pas que je veuille pas mais je suis pas sûre d'être sur Montpellier. J'y serai de sûre qu'à partir de lundi prochain car je commence les cours…",5.0,4.0,16.0,3.150943396226415,8.203631185475256,13.25,14.6875,4.0,57.0,"Coucou :)  
Oui ça s'est bien passé !  
Alors je sais pas du tout pour jeudi soir… Non pas que je veuille pas mais je suis pas sûre d'être sur Montpellier. J'y serai de sûre qu'à partir de lundi prochain car je commence les cours…",5.0,4.0,16.0,3.150943396226415,8.203631185475256,13.25,14.6875,4.0,57.0,7.343925852366766
5,On peut se rejoindre quelque part? Tu as cours ou ?,4.0,3.5,5.0,1.8,1.5600000000000003,5.0,1.0,2.0,12.0,On peut se rejoindre quelque part ? Tu as cours où ?,4.0,3.5,5.0,1.8,1.5600000000000003,5.0,1.0,2.0,12.0,On peut se rejoindre quelque part ? Tu as cours où ?,4.0,3.5,5.0,1.8,1.5600000000000003,5.0,1.0,2.0,12.0,0.0
6,"Encore moi... J'te harcele, oui oui et j'assume :)
Juste j'te tiens au courant.
On sera 4. Toi, Thomas, Jean et moi a participer. On t'avance?",5.0,3.0,17.0,2.975,11.274375000000001,8.0,40.4,5.0,45.0,"Encore moi… Je te harcèle, oui oui et j'assume :)
Juste je te tiens au courant.  
On sera 4. Toi, Thomas, Jean et moi à participer. On t'avance ?",5.0,3.0,16.0,2.8055555555555554,10.878858024691358,7.2,34.96,5.0,41.0,"Encore moi… Je te harcèle, oui oui et j'assume :)
Juste je te tiens au courant.  
On sera 4. Toi, Thomas, Jean et moi à participer. On t'avance ?",5.0,3.0,16.0,2.8055555555555554,10.878858024691358,7.2,34.96,5.0,41.0,1.1694444444444447
7,"Dis, pour le premier midi on s'fait a manger de nous comme on avait fait y'a deux ans? Ou vous allez acheter des trucs pour le samedi midi?
Biisoux",6.0,3.6666666666666665,14.0,2.757575757575758,7.75941230486685,11.0,88.66666666666667,3.0,36.0,"Dis, pour le premier midi on se fait à manger de nous comme on avait fait y a deux ans ? Ou vous allez acheter des trucs pour le samedi midi ? Bisous",6.0,3.6666666666666665,13.0,2.6451612903225805,7.132154006243499,10.333333333333334,73.55555555555556,3.0,34.0,"Dis, pour le premier midi on se fait à manger de nous comme on avait fait il y a deux ans ? Ou vous allez acheter des trucs pour le samedi midi ? Bisous",6.0,3.6666666666666665,14.0,2.6875,7.58984375,10.666666666666666,80.8888888888889,3.0,35.0,1.1124144672531773
8,"Hey hey !
J'te souhaite un tres joyeux n'anniversaire! Profite bien de ta journee !

Le <SUR_4> te souhaite aussi un tres joyeux anniv' !

Bisoux",4.0,2.8,7.0,2.7241379310344827,3.785969084423305,5.8,20.96,5.0,34.0,"Hey hey !
Je te souhaite un très joyeux anniversaire ! Profite bien de ta journée !

Le <SUR_4> te souhaite aussi un très joyeux anniversaire !

Bisous",4.0,2.8,6.0,2.36,2.6304000000000003,5.0,14.8,5.0,30.0,"Hey hey !
Je te souhaite un très joyeux anniversaire ! Profite bien de ta journée !

Le <SUR_4> te souhaite aussi un très joyeux anniversaire !

Bisous",4.0,2.8,6.0,2.36,2.6304000000000003,5.0,14.8,5.0,30.0,1.3641379310344828
9,"Je suis desolee... J'avais pas vu l'heure et pas de portable sur moi...
Encore desolee...
Bisoux",4.0,2.75,7.0,2.0,1.76,6.25,35.1875,4.0,29.0,"Je suis désolée… J'avais pas vu l'heure et pas de portable sur moi…  
Encore désolée…  
Bisous",4.0,2.25,10.0,2.526315789473684,5.1966759002770075,4.75,29.6875,4.0,23.0,"Je suis désolée… J'avais pas vu l'heure et pas de portable sur moi…  
Encore désolée…  
Bisous",4.0,2.25,10.0,2.526315789473684,5.1966759002770075,4.75,29.6875,4.0,23.0,3.526315789473684
10,"Ah d'accord.
Ca me fait vraiment plaisir. Merci d'avoir pense a moi!
Je vous fait des Bisous a vous tous!",4.0,3.0,7.0,2.125,2.4427083333333335,6.0,2.5,4.0,28.0,"Ah d'accord.
Ça me fait vraiment plaisir. Merci d'avoir pensé à moi !
Je vous fais des bisous à vous tous !",4.0,3.0,7.0,2.125,2.4427083333333335,6.0,2.5,4.0,28.0,"Ah d'accord.
Ça me fait vraiment plaisir. Merci d'avoir pensé à moi !
Je vous fais des bisous à vous tous !",4.0,3.0,7.0,2.125,2.4427083333333335,6.0,2.5,4.0,28.0,0.0
