texte_id,desaccord_total
1,28.896
2,303.808
3,172.916
4,105.394
5,14.763
6,14.431
7,17.007
8,25.042
9,23.883
10,20.962
11,18.304
12,58.051
13,9.184
14,12.539
15,16.796
16,50.117
17,236.66
18,23.387
19,21.417
20,66.774
21,5.66
22,886.919
23,535.66
24,18.589
25,117.438
26,14.899
27,9.71
28,30.045
29,125.465
30,79.627
31,6.456
32,53.318
33,92.379
34,18.001
35,74.936
36,88.354
37,837.576
38,24.075
39,12.798
40,22.37
41,230.243
42,12.822
43,370.622
44,93.522
45,20.557
46,24.85
47,101.456
48,11.344
49,170.604
50,13.287
51,30.901
52,98.64
53,0.88
54,4.0
55,52.185
56,20.417
57,27.249
58,9.464
59,138.671
60,28.172
61,64.756
62,104.268
63,14.364
64,18.741
65,4.49
66,17.277
67,11.75
68,19.304
69,61.868
70,7.76
71,20.61
72,25.06
73,21.004
74,31.889
75,268.671
76,44.389
77,49.625
78,17.867
79,29.076
80,15.118
81,10.822
82,9.39
83,541.433
84,12.834
85,8.741
86,7.325
87,23.703
88,39.008
89,18.086
90,89.435
91,19.878
92,10.128
93,41.756
94,41.773
95,57.171
96,15.967
97,21.803
98,28.015
99,47.853
100,4.792
101,83.789
102,26.751
103,12.53
104,25.0
105,27.453
106,92.89
107,98.189
108,14.606
109,21.517
110,15.159
111,18.973
112,28.033
113,12.308
114,10.548
115,18.52
116,12.579
117,13.693
118,143.912
119,47.615
120,15.416
121,6.797
122,17.996
123,22.933
124,19.461
125,38.441
126,34.957
127,18.675
128,28.852
129,33.356
130,23.662
131,22.146
132,14.964
133,92.43
134,15.519
135,39.832
136,8.168
137,8.957
138,0.481
139,9.434
140,67.133
141,12.772
142,31.44
143,65.914
144,17.59
145,5.82
146,46.725
147,28.547
148,7.127
149,4.962
150,6.771
151,8.243
152,43.495
153,58.968
154,41.257
155,48.74
156,15.728
157,10.536
158,19.835
159,14.384
160,6.57
161,29.824
162,9.347
163,51.558
164,13.577
165,31.983
166,83.599
167,20.337
168,11.486
169,10.379
170,63.09
171,25.221
172,9.741
173,12.656
174,175.854
175,37.96
176,8.437
177,13.065
178,27.308
179,19.538
180,154.276
181,33.656
182,30.024
183,49.232
184,61.925
185,14.94
186,2.537
187,29.472
188,16.03
189,22.336
190,16.675
191,31.399
192,16.056
193,32.223
194,18.298
195,38.488
196,23.649
197,25.703
198,44.018
199,30.114
200,13.817
201,17.277
202,10.161
203,11.202
204,8.152
205,9.107
206,20.574
207,5.944
208,36.142
209,16.271
210,35.354
211,69.289
212,71.362
213,63.628
214,68.36
215,36.026
216,59.759
217,32.664
218,8.618
219,15.332
220,7.885
221,16.576
222,3.089
223,47.967
224,18.143
225,32.938
226,13.452
227,0.0
228,9.552
229,55.957
230,96.984
231,19.721
232,52.874
233,26.261
234,40.879
235,10.625
236,17.375
237,14.721
238,15.262
239,49.238
240,40.504
241,12.148
242,22.486
243,8.583
244,50.153
245,103.444
246,14.6
247,24.271
248,61.039
249,11.763
250,12.787
251,18.039
252,19.698
253,39.459
254,19.306
255,22.913
256,38.275
257,35.7
258,32.966
259,8.787
260,13.784
261,21.811
262,19.162
263,12.814
264,54.12
265,72.015
266,17.229
267,22.145
268,37.639
269,23.368
270,39.486
271,26.072
272,5.525
273,51.727
274,4.582
275,10.22
276,9.284
277,11.668
278,15.385
279,20.667
280,13.799
281,9.71
282,163.859
283,33.462
284,419.325
285,48.99
286,12.164
287,36.259
288,23.48
289,19.303
290,10.601
291,12.05
292,7.568
293,17.083
294,13.198
295,48.641
296,28.64
297,9.317
298,11.13
299,24.568
300,27.09
301,7.637
302,13.561
303,18.039
304,32.586
305,465.169
306,5.686
307,13.798
308,23.232
309,12.792
310,40.532
311,25.812
312,11.49
313,12.171
314,8.139
315,50.713
316,7.823
317,52.487
318,598.451
319,52.343
320,20.19
321,167.624
322,13.194
323,37.555
324,112.249
325,9.85
326,42.432
327,13.887
328,28.152
329,27.17
330,10.628
331,57.964
332,55.232
333,60.689
334,28.856
335,7.535
336,30.603
337,28.966
338,49.962
339,683.327
340,10.705
341,937.903
342,150.368
343,309.226
344,23.628
345,10.412
346,19.389
347,1115.815
348,175.881
349,20.741
350,33.698
351,45.023
352,33.007
353,10.173
354,15.346
355,19.856
356,13.492
357,13.413
358,30.329
359,63.07
360,89.713
361,19.271
362,68.23
363,12.177
364,33.264
365,116.149
366,63.985
367,18.762
368,634.934
369,10.234
370,17.985
371,29.793
372,1.076
373,31.135
374,77.917
375,65.41
376,245.114
377,19.306
378,23.79
379,36.446
380,6.225
381,24.019
382,19.509
383,98.981
384,66.983
385,38.984
386,31.23
387,43.644
388,38.117
389,30.601
390,34.049
391,17.104
392,96.51
393,44.416
394,122.693
395,32.979
396,30.301
397,75.354
398,11.871
399,96.658
400,25.33
401,40.469
402,31.309
403,21.45
404,55.231
405,27.188
406,115.222
407,39.286
408,294.382
409,44.677
410,24.244
411,7.024
412,28.822
413,18.194
414,260.033
415,98.577
416,152.695
417,216.096
418,24.736
419,12.176
420,51.683
421,433.616
422,526.741
423,121.239
424,8.327
425,3.111
426,13.15
427,31.554
428,70.152
429,41.168
430,45.25
431,230.611
432,2.547
433,38.266
434,8.667
435,14.736
436,24.125
437,8.253
438,19.499
439,41.652
440,16.291
441,6.545
442,21.807
443,81.408
444,15.523
445,12.375
446,22.633
447,47.208
448,12.856
449,38.226
450,27.732
451,16.564
452,10.24
453,21.342
454,9.874
455,30.179
456,14.389
457,27.342
458,37.757
459,28.059
460,28.835
461,27.161
462,20.899
463,12.5
464,38.491
465,15.083
466,27.451
467,16.38
468,45.9
469,38.924
470,13.343
471,27.328
472,12.962
473,14.004
474,12.591
475,2.52
476,23.736
477,20.024
