corpus,feature,mean_r,mad_moyen
SMS,distance_dependance_max,0.9428599999999999,1.0651
SMS,distance_dependance_moy,0.85648,0.3051
SMS,distance_dependance_var,0.82463,2.4182
SMS,nb_dependances_moy_phrase,1.0,0.0
SMS,nb_dependances_var_phrase,1.0,0.0
SMS,nb_phrases,1.0,0.0
SMS,nb_tokens,1.0,0.0
SMS,profondeur_arbre_max,0.8680300000000001,0.5403
SMS,profondeur_arbre_moy,0.8713200000000001,0.4292
Transcodage_1,distance_dependance_max,0.94472,1.0158
Transcodage_1,distance_dependance_moy,0.8595599999999999,0.2858
Transcodage_1,distance_dependance_var,0.85731,2.1468
Transcodage_1,nb_dependances_moy_phrase,1.0,0.0
Transcodage_1,nb_dependances_var_phrase,1.0,0.0
Transcodage_1,nb_phrases,1.0,0.0
Transcodage_1,nb_tokens,1.0,0.0
Transcodage_1,profondeur_arbre_max,0.86445,0.5479
Transcodage_1,profondeur_arbre_moy,0.8661099999999999,0.4201
Transcodage_2,distance_dependance_max,0.93984,1.0389
Transcodage_2,distance_dependance_moy,0.8539899999999999,0.2852
Transcodage_2,distance_dependance_var,0.84368,2.1435
Transcodage_2,nb_dependances_moy_phrase,1.0,0.0
Transcodage_2,nb_dependances_var_phrase,1.0,0.0
Transcodage_2,nb_phrases,1.0,0.0
Transcodage_2,nb_tokens,1.0,0.0
Transcodage_2,profondeur_arbre_max,0.8618499999999999,0.5451
Transcodage_2,profondeur_arbre_moy,0.8676999999999999,0.4124
