corpus,feature,mad_moyen,mad_ecart_type
SMS,profondeur_arbre_max,0.5389,0.4326
SMS,profondeur_arbre_moy,0.4523,0.3872
SMS,distance_dependance_max,1.2857,2.0794
SMS,distance_dependance_moy,0.32,0.3001
SMS,distance_dependance_var,2.4998,6.9971
SMS,nb_dependances_moy_phrase,0.4377,1.0679
SMS,nb_dependances_var_phrase,2.5718,14.2776
SMS,nb_phrases,0.0432,0.1295
SMS,nb_tokens,0.3995,0.6537
Transcodage_1,profondeur_arbre_max,0.529,0.4392
Transcodage_1,profondeur_arbre_moy,0.4299,0.3751
Transcodage_1,distance_dependance_max,1.2169,1.8045
Transcodage_1,distance_dependance_moy,0.2988,0.2645
Transcodage_1,distance_dependance_var,2.2037,4.7473
Transcodage_1,nb_dependances_moy_phrase,0.4458,0.8349
Transcodage_1,nb_dependances_var_phrase,2.2719,10.6892
Transcodage_1,nb_phrases,0.0459,0.1233
Transcodage_1,nb_tokens,0.5133,0.6714
Transcodage_2,profondeur_arbre_max,0.5293,0.4394
Transcodage_2,profondeur_arbre_moy,0.4247,0.3725
Transcodage_2,distance_dependance_max,1.2417,1.874
Transcodage_2,distance_dependance_moy,0.3015,0.2657
Transcodage_2,distance_dependance_var,2.2168,4.5192
Transcodage_2,nb_dependances_moy_phrase,0.4634,0.834
Transcodage_2,nb_dependances_var_phrase,2.316,10.6172
Transcodage_2,nb_phrases,0.0602,0.1406
Transcodage_2,nb_tokens,0.5585,0.7154
