modele,structure,sms_moy,sms_total,sms_n,philo_moy,philo_total,philo_n,lemonde_moy,lemonde_total,lemonde_n
fsmb,subordonnees_qui,0.0,0,5519,0.0,0,1486,0.19778796870785,3666,18535
fsmb,subordonnees_que,0.0,0,5519,0.0,0,1486,0.050175343943889936,930,18535
fsmb,subordonnees_prep_lequel,0.0,0,5519,0.0,0,1486,0.031130294038305906,577,18535
fsmb,subordonnees_dont,0.0,0,5519,0.0,0,1486,0.07596439169139466,1408,18535
fsmb,completives,0.0,0,5519,0.0,0,1486,0.4411653628270839,8177,18535
fsmb,hypothetiques,0.0,0,5519,0.0,0,1486,0.009819260857836526,182,18535
fsmb,gerondif,0.0,0,5519,0.0,0,1486,0.026436471540329107,490,18535
fsmb,incises,0.0,0,5519,0.0,0,1486,0.28227677367143245,5232,18535
fsmb,propositions_coordonnees,0.0,0,5519,0.0,0,1486,0.13164283787429187,2440,18535
gsd,subordonnees_qui,0.01848160898713535,102,5519,0.4226110363391655,628,1486,0.19778796870785,3666,18535
gsd,subordonnees_que,0.007428882043848523,41,5519,0.09421265141318977,140,1486,0.050175343943889936,930,18535
gsd,subordonnees_prep_lequel,0.0,0,5519,0.0639300134589502,95,1486,0.031130294038305906,577,18535
gsd,subordonnees_dont,0.0012683457148034065,7,5519,0.0423956931359354,63,1486,0.07596439169139466,1408,18535
gsd,completives,0.26399710092408046,1457,5519,1.0296096904441454,1530,1486,0.4411653628270839,8177,18535
gsd,hypothetiques,0.046566406957782205,257,5519,0.12314939434724091,183,1486,0.009819260857836526,182,18535
gsd,gerondif,0.0,0,5519,0.0,0,1486,0.026436471540329107,490,18535
gsd,incises,0.17811197680739263,983,5519,0.5127860026917901,762,1486,0.28227677367143245,5232,18535
gsd,propositions_coordonnees,0.09277042942562058,512,5519,0.33378196500672946,496,1486,0.13164283787429187,2440,18535
rhapsodie,subordonnees_qui,0.01775684000724769,98,5519,0.423956931359354,630,1486,0.19778796870785,3666,18535
rhapsodie,subordonnees_que,0.008516035513680015,47,5519,0.08546433378196501,127,1486,0.050175343943889936,930,18535
rhapsodie,subordonnees_prep_lequel,0.0,0,5519,0.06460296096904442,96,1486,0.031130294038305906,577,18535
rhapsodie,subordonnees_dont,0.0012683457148034065,7,5519,0.04172274562584118,62,1486,0.07596439169139466,1408,18535
rhapsodie,completives,0.28628374705562604,1580,5519,0.9751009421265141,1449,1486,0.4411653628270839,8177,18535
rhapsodie,hypothetiques,0.046566406957782205,257,5519,0.12382234185733512,184,1486,0.009819260857836526,182,18535
rhapsodie,gerondif,0.0,0,5519,0.0,0,1486,0.026436471540329107,490,18535
rhapsodie,incises,0.09711904330494654,536,5519,0.6971736204576043,1036,1486,0.28227677367143245,5232,18535
rhapsodie,propositions_coordonnees,0.0452980612429788,250,5519,0.2631224764468372,391,1486,0.13164283787429187,2440,18535
sequoia,subordonnees_qui,0.017213263272331945,95,5519,0.42126514131897713,626,1486,0.19778796870785,3666,18535
sequoia,subordonnees_que,0.006704113063960863,37,5519,0.1009421265141319,150,1486,0.050175343943889936,930,18535
sequoia,subordonnees_prep_lequel,0.0,0,5519,0.06662180349932706,99,1486,0.031130294038305906,577,18535
sequoia,subordonnees_dont,0.0012683457148034065,7,5519,0.0423956931359354,63,1486,0.07596439169139466,1408,18535
sequoia,completives,0.30259104910309836,1670,5519,1.050471063257066,1561,1486,0.4411653628270839,8177,18535
sequoia,hypothetiques,0.047109983692697956,260,5519,0.12314939434724091,183,1486,0.009819260857836526,182,18535
sequoia,gerondif,0.0,0,5519,0.0,0,1486,0.026436471540329107,490,18535
sequoia,incises,0.047472368182641785,262,5519,0.3364737550471063,500,1486,0.28227677367143245,5232,18535
sequoia,propositions_coordonnees,0.08443558615691249,466,5519,0.30551816958277256,454,1486,0.13164283787429187,2440,18535
stanza,subordonnees_qui,0.018328445747800588,100,5456,0.3993630573248408,627,1570,0.19778796870785,3666,18535
stanza,subordonnees_que,0.010080645161290322,55,5456,0.14713375796178343,231,1570,0.050175343943889936,930,18535
stanza,subordonnees_prep_lequel,0.0,0,5456,0.062420382165605096,98,1570,0.031130294038305906,577,18535
stanza,subordonnees_dont,0.001282991202346041,7,5456,0.040127388535031845,63,1570,0.07596439169139466,1408,18535
stanza,completives,0.2663123167155425,1453,5456,0.8834394904458599,1387,1570,0.4411653628270839,8177,18535
